gpu,vendor,vram_gb,bandwidth_gbps
rtx5090,NVIDIA,32,1792
rtx5080,NVIDIA,16,960
rtx5070ti,NVIDIA,16,896
rtx5070,NVIDIA,12,672
rtx5060ti,NVIDIA,16,448
rtx5060,NVIDIA,8,448
rtx4090,NVIDIA,24,1008
rtx4080s,NVIDIA,16,736
rtx4080,NVIDIA,16,717
rtx4070tis,NVIDIA,16,672
rtx4070ti,NVIDIA,12,504
rtx4070s,NVIDIA,12,504
rtx4070,NVIDIA,12,504
rtx4060ti16,NVIDIA,16,288
rtx4060ti,NVIDIA,8,288
rtx4060,NVIDIA,8,272
rtx4050m,NVIDIA,6,192
rtx3090ti,NVIDIA,24,1008
rtx3090,NVIDIA,24,936
rtx3080ti,NVIDIA,12,912
rtx3080,NVIDIA,10,760
rtx3070ti,NVIDIA,8,608
rtx3070,NVIDIA,8,448
rtx3060ti,NVIDIA,8,448
rtx3060,NVIDIA,12,360
rtx3050,NVIDIA,8,224
rtx2080ti,NVIDIA,11,616
rtx2080s,NVIDIA,8,496
rtx2080,NVIDIA,8,448
rtx2070s,NVIDIA,8,448
rtx2070,NVIDIA,8,448
rtx2060s,NVIDIA,8,448
rtx206012,NVIDIA,12,336
rtx2060,NVIDIA,6,336
gtx1660ti,NVIDIA,6,288
gtx1660s,NVIDIA,6,336
gtx1660,NVIDIA,6,192
gtx1650s,NVIDIA,4,192
gtx1650,NVIDIA,4,128
gtx1080ti,NVIDIA,11,484
gtx1080,NVIDIA,8,320
gtx1070ti,NVIDIA,8,256
gtx1070,NVIDIA,8,256
gtx10605,NVIDIA,5,160
gtx10606,NVIDIA,6,192
rtxa6000,NVIDIA,48,960
rtxa5000,NVIDIA,24,768
rtxa4000,NVIDIA,16,448
rx9070xt,AMD,16,645
rx9070,AMD,16,640
rx8800xt,AMD,16,624
rx7900xtx,AMD,24,960
rx7900xt,AMD,20,800
rx7900gre,AMD,16,576
rx7800xt,AMD,16,624
rx7700xt,AMD,12,432
rx7600xt,AMD,16,288
rx7600,AMD,8,288
rx6950xt,AMD,16,576
rx6900xt,AMD,16,512
rx6800xt,AMD,16,512
rx6800,AMD,16,512
rx6750xt,AMD,12,432
rx6700xt,AMD,12,384
rx6700,AMD,10,320
rx6650xt,AMD,8,280
rx6600xt,AMD,8,256
rx6600,AMD,8,256
rx6500xt,AMD,4,144
arcb580,Intel,12,456
arcb570,Intel,10,380
arca770,Intel,16,560
arca750,Intel,8,512
arca580,Intel,8,512
arca380,Intel,6,186
arca310,Intel,4,124

apple_chip,unified_memory_min_gb,unified_memory_max_gb,bandwidth_gbps,gpu_cores
m6,16,32,170,12
m5ultra,96,512,1200,36
m5max,36,128,460,18
m5pro,24,64,307,14
m5,16,32,153,10
m4max,36,128,546,16
m4pro,24,64,273,14
m4,16,32,120,10
m3,8,24,100,8
m3pro,18,36,150,12
m3max,36,128,400,16
m3ultra,96,512,800,32
m2,8,24,100,8
m2pro,16,32,200,12
m2max,32,96,400,12
m2ultra,64,192,800,24
m1,8,16,68,8
m1pro,16,32,200,10
m1max,32,64,400,10
m1ultra,64,128,800,16
